Protein.IDs,flybase_gene,Entry,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
FBtr0074672,Mur18B,Q9VWK3,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,49756117.3115155,77154612.4520016,6832642.72982606,5809856.95897423,45426102.5178778,208257500.000002,325790000.000004,254142499.999998,502160000.000003,68645689.3946235,263875000.000002,3858947.8446812,3858947.8446812
FBtr0074674;FBtr0332392,CG7884,Q8SWR0,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,22246579.2511689,16027156.6365776,3858947.8446812,10724324.2894489,3858947.8446812,3858947.8446812,3858947.8446812,6391943.70694557,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0074675,CG7889,Q9VWJ9,533337499.999999,425454999.999995,509827500.000003,384357499.999997,299257499.999996,225474999.999998,209177499.999999,200282500.000002,234117500.000004,243282500.000001,219559999.999999,147230402.687284,96115328.8032476,82156499.9999997,104497250.000001,147337500.000002,11449295.1923527
FBtr0344324;FBtr0074682,out,Q9V3F9,3858947.8446812,3858947.8446812,10463720.4407872,9185069.07180096,3858947.8446812,3858947.8446812,9337700.81912083,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,5617058.26497761,8041888.43105885,3858947.8446812,6653680.75433993
FBtr0343320;FBtr0074683,CG8051,Q9VWJ0,16521058.3220988,13193255.0829185,3858947.8446812,3858947.8446812,9536904.52149165,13539385.5281486,5766710.88351098,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,9584352.7137647,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,14123532.0514693
FBtr0074684;FBtr0301226,CG8034,Q9VWJ1,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,22517863.8507906,17998259.29217,19703710.8835115,15097221.2827191,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,10183329.9476152,14850449.0147455,8525316.2859814,16516534.3313898
FBtr0074686,CG32536,Q9VWJ3,45509317.0774501,28672948.7216297,53658705.1054982,73501999.9999997,3858947.8446812,3858947.8446812,3858947.8446812,38649776.2117101,84184499.9999997,90553000.0000001,72700008.1220273,103193750,67199439.9931265,20873042.5925417,11432240.67108,9743960.20447236,12901053.6676506
FBtr0343635;FBtr0074689;FBtr0343634,rictor,X2JFR5,34046750.0000002,31671260.4391628,37512249.9999993,34186499.9999999,25492309.9586606,20543015.5597821,22273293.1071654,11433207.5394349,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0074693,Ulp1,Q7KMN4,288147500.000002,272617500.000001,256239999.999997,200257500,51862685.6003468,34115165.5562699,13280740.720282,12138100.5984494,3858947.8446812,3858947.8446812,3858947.8446812,4899051.73533785,3858947.8446812,3858947.8446812,11089847.7465884,104138349.470137,3858947.8446812
FBtr0074695,CG7990,Q9VWK6,3858947.8446812,3858947.8446812,3858947.8446812,13486851.6498645,8181765.99807811,12114836.758913,8614486.04024595,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,6469593.43834462,5299085.88351084,3858947.8446812,20287772.3425011
FBtr0343313;FBtr0074697,CG7556,Q9VWL4,69729749.9999998,48226516.6401738,87696499.9999995,102798500.000001,109562749.999999,118222500.000001,106528808.581025,96197750.0000016,88773499.9999996,95620249.9999989,113832499.999999,93662250,25465655.3857443,65362549.6835771,91480500,46597266.4591587,70404233.8208524
