Phylostratum (ps),Protein_ID,Locus_tag,UniProt,T_LC,T_6H,T_12H,T_1D,T_2D,T_3D,T_5D,T_7D,T_14D,T_1M,T_2M,P_LC,P_12H,P_1D,P_2D,P_7D
1,AQZ88963.1,B4U62_00310,A0A164VJI3,6.71e-05,0.000289606,0.000144762,0.000135583,0.000158949,0.000150958,0.000125174,0.000189863,6.22e-05,5.24e-05,9.42e-06,0.000112022,0.000111356,4.32e-05,0.000127535,4.4e-05
1,AQZ88964.1,B4U62_00315,P14193,6.11e-05,0.000259443,0.000125682,0.000124834,0.000150374,0.000145093,0.000116118,0.000168069,7.29e-05,4.93e-05,9.83e-06,0.003406768,0.00052291,0.000314216,0.000548699,0.000439067
1,AQZ88965.1,B4U62_00320,P14194,0.020054269,0.00050519,0.002871669,0.000695341,0.002620139,0.005547344,0.004432079,0.004763343,0.009028518,0.006207718,0.001907495,0.000441839,0.000322388,0.000419766,5.83e-05,2.24e-05
1,AQZ88966.1,B4U62_00325,P37470,0.000292587,0.00013453,0.000122356,0.000100826,0.000264183,0.000680825,0.000506106,0.000704725,0.000244189,0.00020717,7.35e-05,5.47e-05,6.46e-05,2.68e-05,6.53e-05,6.4e-06
1,AQZ88968.1,B4U62_00335,P37474,0.000128736,8.13e-05,7.62e-05,4.52e-05,7.96e-05,0.000158949,0.000121671,0.000109391,0.000154348,6.86e-05,1.85e-05,9.9e-05,7.37e-06,4.54e-06,1.88e-05,5.48e-07
1,AQZ88969.1,B4U62_00340,P37554,6.51e-05,0.000127525,8.66e-05,5.9e-05,0.000183297,0.00042215,0.000536421,0.000393363,0.000107244,8.41e-05,2.45e-05,1.67e-05,3.21e-05,7.95e-05,3.19e-05,9.44e-05
1,AQZ88970.1,B4U62_00345,P37555,2.23e-06,1.59e-05,7.13e-06,6.07e-06,1.09e-05,8.67e-06,1.01e-05,7.25e-06,1.47e-05,4.89e-06,1.75e-06,NA,NA,NA,NA,NA
1,AQZ88976.1,B4U62_00375,P37560,0.002815411,0.003432039,0.003195208,0.003264062,0.001718213,0.00099772,0.000882246,0.000668363,0.000181967,0.000452083,0.00012246,0.000117688,0.001105775,0.001076214,7.82e-05,1.1e-05
1,AQZ88977.1,B4U62_00390,P37475,0.000120849,1.49e-05,1.11e-05,9.73e-06,4.77e-05,0.000114765,9.34e-05,0.000208934,0.00010391,2.47e-05,7.21e-06,4.28e-06,2.49e-06,2.2e-06,4.87e-06,1.56e-06
1,AQZ88979.1,B4U62_00400,P37562,2.53e-05,7.05e-06,4.55e-06,5.54e-06,2.92e-05,6.47e-05,5.53e-05,7.8e-05,6.07e-05,3.76e-05,1.11e-05,NA,NA,NA,NA,NA
